C-A10KJE-0;C-MMW-0;C-PCM2-0;F-PROD4;F-PROD1;F-PROD2;F-PROD3
A10KJE-202504;MMW-3;KJPC2-56;15923,6;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-58;2204,7;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-61;10653,7;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-62;10961,2;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-63;8065,1;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-68;25662,8;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-70;70533,2;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-71;10710,7;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-72;77514,0;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-73;483,8;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-74;13420,1;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-77;39721,6;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-78;21334,4;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-81;11050,3;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-82;28079,5;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-85;343,7;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-86;:;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-93;893,4;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-95;12759,6;0,0;0,0;0,0
A10KJE-202504;MMW-3;KJPC2-96;2049,2;0,0;0,0;0,0
A10KJE-202504;MMW-1;KJPC2-06;:;:;:;:
